timestamp_s,height_agl_m,height_source,snr,target_count,valid
1000.000000,1.594533,nar15_synthetic,18.000,1,1
1000.050000,1.648316,nar15_synthetic,18.397,1,1
1000.100000,1.691627,nar15_synthetic,18.779,1,1
1000.150000,1.719855,nar15_synthetic,19.129,1,1
1000.200000,1.729992,nar15_synthetic,19.435,1,1
1000.250000,1.720959,nar15_synthetic,19.683,1,1
1000.300000,1.693717,nar15_synthetic,19.864,1,1
1000.350000,1.651169,nar15_synthetic,19.971,1,1
1000.400000,1.597846,nar15_synthetic,19.999,1,1
1000.450000,1.539427,nar15_synthetic,19.948,1,1
1000.500000,1.482134,nar15_synthetic,19.819,1,1
1000.550000,1.432069,nar15_synthetic,19.617,1,1
1000.600000,1.394565,nar15_synthetic,19.351,1,1
1000.650000,1.373615,nar15_synthetic,19.031,1,1
1000.700000,1.371451,nar15_synthetic,18.670,1,1
1000.750000,1.388304,nar15_synthetic,18.282,1,1
1000.800000,1.422378,nar15_synthetic,17.883,1,1
1000.850000,1.470045,nar15_synthetic,17.489,1,1
1000.900000,1.526228,nar15_synthetic,17.115,1,1
1000.950000,1.584942,nar15_synthetic,16.776,1,1
1001.000000,1.639935,nar15_synthetic,16.486,1,1
1001.050000,1.685349,nar15_synthetic,16.257,1,1
1001.100000,1.716348,nar15_synthetic,16.097,1,1
1001.150000,1.729630,nar15_synthetic,16.013,1,1
