timestamp_s,roll_deg,pitch_deg,yaw_deg,angular_rate_x,angular_rate_y,angular_rate_z
1000.000000,0.000000,1.483157,8.000000,0.100000,0.000000,0.050000
1000.050000,0.591996,1.383996,8.147147,0.054030,0.051537,0.046053
1000.100000,1.130936,1.201594,8.292073,-0.041615,0.078836,0.034835
1000.150000,1.568518,0.946923,8.432591,-0.098999,0.069057,0.018118
1000.200000,1.865524,0.635299,8.566579,-0.065364,0.026799,-0.001460
1000.250000,1.995338,0.285464,8.692016,0.028366,-0.028063,-0.020807
1000.300000,1.946323,-0.081539,8.807009,0.096017,-0.069726,-0.036870
1000.350000,1.722873,-0.443639,8.909821,0.075390,-0.078596,-0.047111
1000.400000,1.345014,-0.779055,8.998900,-0.014550,-0.050501,-0.049915
1000.450000,0.846612,-1.067616,9.072904,-0.091113,0.001345,-0.044838
1000.500000,0.272333,-1.291964,9.130713,-0.083907,0.052559,-0.032682
1000.550000,-0.326352,-1.438607,9.171457,0.000443,0.079053,-0.015367
1000.600000,-0.895790,-1.498725,9.194519,0.084385,0.068368,0.004375
1000.650000,-1.384943,-1.468702,9.199552,0.090745,0.025528,0.023426
1000.700000,-1.749975,-1.350344,9.186480,0.013674,-0.029318,0.038778
1000.750000,-1.958168,-1.150769,9.155501,-0.075969,-0.070376,0.048009
1000.800000,-1.990865,-0.881981,9.107081,-0.095766,-0.078334,0.049659
1000.850000,-1.845135,-0.560146,9.041952,-0.027516,-0.049451,0.043470
1000.900000,-1.534038,-0.204622,8.961096,0.066032,0.002690,0.030418
1000.950000,-1.085457,0.163210,8.865734,0.098870,0.053566,0.012563
1001.000000,-0.539594,0.521226,8.757306,0.040808,0.079249,-0.007275
1001.050000,0.054630,0.847892,8.637447,-0.054773,0.067660,-0.025964
1001.100000,0.643957,1.123562,8.507967,-0.099996,0.024249,-0.040555
1001.150000,1.175571,1.331655,8.370820,-0.053283,-0.030566,-0.048742
