timestamp_s,longitude,latitude,ground_elevation_m,flight_height_m,rtk_fix_type,satellites,hdop
1000.000000,104.1234560000,30.6543210000,713.000000,1.624533,5,18,0.650
1000.050000,104.1234617433,30.6543213290,713.023867,1.672095,5,19,0.680
1000.100000,104.1234674866,30.6543216442,713.047516,1.699326,5,20,0.710
1000.150000,104.1234732299,30.6543219325,713.070731,1.708280,5,21,0.650
1000.200000,104.1234789731,30.6543221817,713.093300,1.703943,5,18,0.680
1000.250000,104.1234847164,30.6543223816,713.115016,1.691238,5,19,0.710
1000.300000,104.1234904597,30.6543225236,713.135682,1.672649,5,20,0.650
1000.350000,104.1234962030,30.6543226019,713.155108,1.647491,5,21,0.680
1000.400000,104.1235019463,30.6543226132,713.173118,1.613082,5,18,0.710
1000.450000,104.1235076896,30.6543225570,713.189546,1.567260,5,19,0.650
1000.500000,104.1235134328,30.6543224357,713.204242,1.511022,5,20,0.680
1000.550000,104.1235191761,30.6543222543,713.217073,1.450033,5,21,0.710
1000.600000,104.1235249194,30.6543220204,713.227921,1.394155,5,18,0.650
1000.650000,104.1235306627,30.6543217439,713.236687,1.355002,5,19,0.680
1000.700000,104.1235364060,30.6543214363,713.243290,1.342353,5,20,0.710
1000.750000,104.1235421493,30.6543211103,713.247671,1.360788,5,21,0.650
1000.800000,104.1235478925,30.6543207798,713.249790,1.407854,5,18,0.680
1000.850000,104.1235536358,30.6543204585,713.249627,1.474536,5,19,0.710
1000.900000,104.1235593791,30.6543201599,713.247183,1.547871,5,20,0.650
1000.950000,104.1235651224,30.6543198963,713.242482,1.614763,5,21,0.680
1001.000000,104.1235708657,30.6543196790,713.235565,1.665568,5,18,0.710
1001.050000,104.1235766090,30.6543195169,713.226497,1.696164,5,19,0.650
1001.100000,104.1235823522,30.6543194169,713.215359,1.707860,5,20,0.680
1001.150000,104.1235880955,30.6543193830,713.202254,1.705359,5,21,0.710
