trace_index,timestamp_s
0,2000.000000
1,2000.080000
2,2000.160000
3,2000.240000
4,2000.320000
5,2000.400000
6,2000.480000
7,2000.560000
8,2000.640000
9,2000.720000
10,2000.800000
11,2000.880000
12,2000.960000
13,2001.040000
14,2001.120000
15,2001.200000
16,2001.280000
17,2001.360000
18,2001.440000
19,2001.520000
20,2001.600000
21,2001.680000
22,2001.760000
23,2001.840000
24,2001.920000
25,2002.000000
26,2002.080000
27,2002.160000
28,2002.240000
29,2002.320000
30,2002.400000
31,2002.480000
32,2002.560000
33,2002.640000
34,2002.720000
35,2002.800000
36,2002.880000
37,2002.960000
38,2003.040000
39,2003.120000
40,2003.200000
41,2003.280000
42,2003.360000
43,2003.440000
44,2003.520000
45,2003.600000
46,2003.680000
47,2003.760000
48,2003.840000
49,2003.920000
50,2004.000000
51,2004.080000
52,2004.160000
53,2004.240000
54,2004.320000
55,2004.400000
56,2004.480000
57,2004.560000
58,2004.640000
59,2004.720000
60,2004.800000
61,2004.880000
62,2004.960000
63,2005.040000
64,2005.120000
65,2005.200000
66,2005.280000
67,2005.360000
68,2005.440000
69,2005.520000
70,2005.600000
71,2005.680000
72,2005.760000
73,2005.840000
74,2005.920000
75,2006.000000
76,2006.080000
77,2006.160000
78,2006.240000
79,2006.320000
80,2006.400000
81,2006.480000
82,2006.560000
83,2006.640000
84,2006.720000
85,2006.800000
86,2006.880000
87,2006.960000
88,2007.040000
89,2007.120000
90,2007.200000
91,2007.280000
92,2007.360000
93,2007.440000
94,2007.520000
95,2007.600000
96,2007.680000
97,2007.760000
98,2007.840000
99,2007.920000
100,2008.000000
101,2008.080000
102,2008.160000
103,2008.240000
104,2008.320000
105,2008.400000
106,2008.480000
107,2008.560000
108,2008.640000
109,2008.720000
110,2008.800000
111,2008.880000
112,2008.960000
113,2009.040000
114,2009.120000
115,2009.200000
116,2009.280000
117,2009.360000
118,2009.440000
119,2009.520000
120,2009.600000
121,2009.680000
122,2009.760000
123,2009.840000
124,2009.920000
125,2010.000000
126,2010.080000
127,2010.160000
128,2010.240000
129,2010.320000
130,2010.400000
131,2010.480000
132,2010.560000
133,2010.640000
134,2010.720000
135,2010.800000
136,2010.880000
137,2010.960000
138,2011.040000
139,2011.120000
140,2011.200000
141,2011.280000
142,2011.360000
143,2011.440000
144,2011.520000
145,2011.600000
146,2011.680000
147,2011.760000
148,2011.840000
149,2011.920000
150,2012.000000
151,2012.080000
152,2012.160000
153,2012.240000
154,2012.320000
155,2012.400000
156,2012.480000
157,2012.560000
158,2012.640000
159,2012.720000
160,2012.800000
161,2012.880000
162,2012.960000
163,2013.040000
164,2013.120000
165,2013.200000
166,2013.280000
167,2013.360000
168,2013.440000
169,2013.520000
170,2013.600000
171,2013.680000
172,2013.760000
173,2013.840000
174,2013.920000
175,2014.000000
176,2014.080000
177,2014.160000
178,2014.240000
179,2014.320000
